Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
SSD,"Simpson Manufacturing Company",92.63,-0.47,-0.50%,93.88,91.85,33213,"12:51 ET"
STL,"Sterling Bancorp",18.04,0.79,+4.58%,18.18,17.48,1755388,"12:52 ET"
STLD,"Steel Dynamics Inc",36.36,0.019999999999996,+0.06%,36.91,36.2,360187,"12:53 ET"
STOR,"Store Capital Corpstore Capital",33,-0.13,-0.39%,33.76,32.95,582505,"12:51 ET"
STRA,"Strayer Education",96.67,3.55,+3.81%,96.95,93,107816,"12:49 ET"
SVC,"Service Properties Trust",11.39,0.31,+2.80%,11.44,11.12,320082,"12:52 ET"
SWX,"Southwest Gas Corp",59.28,-0.11,-0.19%,60.16,59.14,119219,"12:38 ET"
SXT,"Sensient Technologies Corp",73.1,-0.39,-0.53%,73.73,72.83,44832,"12:49 ET"
SYNA,"Synaptics Inc",86.85,4.32,+5.23%,87.91,83.61,256732,"12:51 ET"
SYNH,"Syneos Health Inc",69.76,-0.099999999999994,-0.14%,70.97,69.29,187332,"12:49 ET"
TCBI,"Texas Capital Bncsh",59.22,1.41,+2.44%,59.65,58.06,78773,"12:52 ET"
TCF,"TCF Financial Corp",36.3,0.7,+1.97%,36.5,35.61,1236170,"12:53 ET"
TCO,"Taubman Centers",42.94,-0.060000000000002,-0.14%,42.98,42.93,375982,"12:53 ET"
TDC,"Teradata Corp",22.76,0.12,+0.53%,23.11,22.74,196258,"12:50 ET"
TDS,"Telephone and Data Systems",17.98,0.18,+1.01%,18.09,17.79,358821,"12:53 ET"
TECH,"Bio-Techne Cp",321.7,1.14,+0.36%,323.6,319.76,58348,"12:37 ET"
TEX,"Terex Corp",35.33,0.26,+0.74%,35.95,34.83,270823,"12:53 ET"
TGNA,"Tegna Inc",13.4,0.28,+2.13%,13.45,13.15,589656,"12:51 ET"
THC,"Tenet Healthcare Corp",40.86,0.030000000000001,+0.07%,41.5,40.5,127964,"12:53 ET"
THG,"The Hanover Insurance Group",116.07,0.98999999999999,+0.86%,116.89,115.54,46124,"12:39 ET"
THO,"Thor Industries",101.79,0.32000000000001,+0.32%,103.63,99.48,330444,"12:53 ET"
THS,"Treehouse Foods",42.35,0.56,+1.34%,42.47,41.25,138755,"12:53 ET"
TKR,"Timken Company",77.03,0.62,+0.81%,77.24,76.21,106181,"12:50 ET"
TMHC,"Taylor Morrison Home Corp",26.72,-0.63,-2.30%,27.64,26.69,324621,"12:51 ET"
TOL,"Toll Brothers Inc",45.27,-0.84999999999999,-1.84%,46.56,44.78,657192,"12:51 ET"
TPH,"Tri Pointe Homes Inc",17.41,-0.31,-1.75%,17.88,17.36,573239,"12:53 ET"
TPX,"Tempur-Pedic International Inc",27.71,-0.07,-0.25%,28.19,27.71,487907,"12:53 ET"
TR,"Tootsie Roll Industries",30.01,0.030000000000001,+0.10%,30.15,29.81,33549,"12:49 ET"
TREE,"Lendingtree Inc",278.88,3.35,+1.22%,282.51,276.21,130057,"12:53 ET"
